client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
3f6b6371f7312ac797f5d02bf334e9b13ead1882e2e9958e0a766c835a40fc8236d150a219d214e4879b1713d00569d69293518868e735ef6e2e030b1def79d1	common_voice_as_32329205.mp3	তুলাও দেখিবলৈ অনেক গুণ তেজাৰ নিচিনা আছিল।	1	1				as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546053.mp3	ঈশ্বৰে মোৰ কপালত কি লিখিলে ক'ব নোৱাৰোঁ।	1	0				as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546055.mp3	নীলাচল পাহাৰত অৱস্থিত শক্তিপীঠ কামাখ্যা মন্দিৰ।	1	0				as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546164.mp3	যদি ধৰা পৰাৰ ভয় থাকে লুকাই-লুকায়েই ফুৰিব লাগিব।	1	0	twenties	male		as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546166.mp3	মোৰ জোতাযোৰ পলিশ্ব কৰি থৈ দিবা।	1	0	twenties	male		as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546167.mp3	সেই দুখেৰে ভৰা মুখৰ ভিতৰৰ পৰাও সৌন্দৰ্য ফুটি ওলাইছে।	1	0	twenties	male		as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546193.mp3	তেতিয়াহে দেশ এখনত মহিলা সুৰক্ষিত হ'ব।	1	0	twenties	male		as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546198.mp3	এতিয়া সেইবোৰ পেলনি গ'লে বহুতো লোকচান হ'ব।	1	0	twenties	male		as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546230.mp3	এখন ৰাজ্যত এটা বৰ ডাঙৰ হাতী আৰু এটা বাঘ আছিল।	1	0	twenties	male		as	
e0dffcb0aad1d31b211d8d83e8f483c5fa43be3da81c79884dee173e4251f2dc7d8c5dda653b67ff8f5c4f9365df154f2860d11ba83308f3872039c492cbe3fa	common_voice_as_32546232.mp3	যেতিয়া বাঘ মৰাৰ দিন পৰিলহি।	1	0	twenties	male		as	
